Trial #	Score1	Score2	Score3	Trades1	Trades2	Trades3	Fees1	Fees2	Fees3	Winrate1	Winrate2	Winrate3	Average	Deviation	Parameters
353	1.49	1.83	3.19	218	16	18	2996.65	136.17	162.01	55	56	72	2.17	0.89956	{'ott_len': 50, 'ott_percent': 80, 'ott_bw_up': 115, 'ott_bw_down': 110, 'tps_qty_index': 37, 'max_risk_long': 57, 'max_risk_short': 34}
358	1.35	1.06	4.09	217	22	17	2990.9	185.12	159.5	58	50	82	2.167	1.67195	{'ott_len': 60, 'ott_percent': 127, 'ott_bw_up': 128, 'ott_bw_down': 151, 'tps_qty_index': 19, 'max_risk_long': 60, 'max_risk_short': 25}
365	0.36	0.9	2.29	687	96	46	6005.73	714.15	412.37	46	49	54	1.183	0.99571	{'ott_len': 15, 'ott_percent': 102, 'ott_bw_up': 144, 'ott_bw_down': 145, 'tps_qty_index': 17, 'max_risk_long': 61, 'max_risk_short': 32}
369	1.18	3.1	3.35	471	63	37	6703.82	574.95	335.17	54	56	68	2.543	1.18728	{'ott_len': 24, 'ott_percent': 130, 'ott_bw_up': 144, 'ott_bw_down': 169, 'tps_qty_index': 33, 'max_risk_long': 61, 'max_risk_short': 30}
371	0.95	2.06	3.26	276	17	17	3589.16	136.67	156.35	54	59	82	2.09	1.15529	{'ott_len': 60, 'ott_percent': 92, 'ott_bw_up': 144, 'ott_bw_down': 97, 'tps_qty_index': 33, 'max_risk_long': 63, 'max_risk_short': 48}
375	0.72	0.28	2.17	37	4	8	321.97	32.13	66.27	62	50	62	1.057	0.98896	{'ott_len': 55, 'ott_percent': 128, 'ott_bw_up': 153, 'ott_bw_down': 169, 'tps_qty_index': 109, 'max_risk_long': 46, 'max_risk_short': 32}
384	1.78	0.04	3.39	299	24	23	5817.96	203.65	210.66	55	46	61	1.737	1.67542	{'ott_len': 53, 'ott_percent': 130, 'ott_bw_up': 133, 'ott_bw_down': 108, 'tps_qty_index': 67, 'max_risk_long': 60, 'max_risk_short': 32}
391	1.0	4.14	2.31	85	4	11	814.31	33.03	93.34	53	100	64	2.483	1.57716	{'ott_len': 52, 'ott_percent': 102, 'ott_bw_up': 144, 'ott_bw_down': 138, 'tps_qty_index': 33, 'max_risk_long': 54, 'max_risk_short': 45}
398	1.78	1.96	4.39	330	35	23	5834.94	311.85	209.18	61	63	78	2.71	1.4577	{'ott_len': 60, 'ott_percent': 92, 'ott_bw_up': 104, 'ott_bw_down': 125, 'tps_qty_index': 104, 'max_risk_long': 63, 'max_risk_short': 48}
407	1.3	1.38	4.15	144	17	14	1653.34	145.05	125.17	58	47	79	2.277	1.62285	{'ott_len': 58, 'ott_percent': 130, 'ott_bw_up': 144, 'ott_bw_down': 122, 'tps_qty_index': 66, 'max_risk_long': 68, 'max_risk_short': 25}
